Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,percent_change
top,DIS3_IS150_R,GFP,minus35,6,0.1789348744353923,"[120, 126]",464,5890,1.1231319038336582,1.111111111111111,0.3042521488970503,False,loss,1.0818713450292572
bottom,DIS3_IS150_L,GFP,minus35,6,0.3682604014300778,"[90, 96]",3142,20,1.142857142857143,1.1547619047619047,0.43433124779796634,False,gain,1.0416666666666434
top,DIS3_IS150_R,mScarlet,minus10,6,0.3283205544781047,"[62, 68]",6334,20,1.037037037037037,1.0476190476190474,0.4076936532519699,False,gain,1.0204081632652955
bottom,DIS3_IS150_R,GFP,minus35,6,0.444317732171079,"[18, 24]",6332,22,1.111111111111111,1.1215007215007216,0.47068798971822934,False,gain,0.9350649350649556
bottom,DIS3_IS150_R,GFP,minus35,6,0.28253360319621457,"[144, 150]",6281,73,1.111111111111111,1.1176470588235294,0.3767114709282861,False,gain,0.588235294117665
top,DIS3_IS150_R,GFP,minus10,6,0.443198203871165,"[32, 38]",6300,54,1.111111111111111,1.116867954911433,0.47068798971822934,False,gain,0.5181159420289938
bottom,DIS3_IS150_R,GFP,minus10,6,0.443198203871165,"[111, 117]",6300,54,1.111111111111111,1.116867954911433,0.47068798971822934,False,gain,0.5181159420289938
top,DIS3_IS150_R,mScarlet,minus10,6,0.39974865459268494,"[108, 114]",6344,10,1.037037037037037,1.0416666666666665,0.44851369608729585,False,gain,0.44642857142856274
bottom,DIS3_IS150_R,mScarlet,minus35,6,0.4429219977894032,"[64, 70]",6336,18,1.037037037037037,1.0414529914529913,0.47068798971822934,False,gain,0.4258241758241672
top,DIS3_IS150_L,mScarlet,minus35,6,0.2542909221765153,"[15, 21]",3047,115,1.1101190476190477,1.1142857142857143,0.35354941794569955,False,gain,0.3753351206434303
top,DIS3_IS2_R,GFP,minus10,6,0.3825654348603183,"[28, 34]",4113,17,1.1296296296296298,1.1332244008714596,0.4387123599748108,False,gain,0.31822565091608335
top,DIS3_IS150_L,mScarlet,minus35,6,0.37331098547007857,"[69, 75]",107,3055,1.111111111111111,1.1089743589743588,0.43433124779796634,False,loss,0.19267822736030762
top,DIS3_IS2_R,mScarlet,minus35,6,0.03861735488816831,"[116, 122]",4103,27,1.0,1.0,0.1305206723352045,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.33937392958906054,"[28, 34]",4113,17,1.0,1.0,0.41040279996102913,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.007475265620836255,"[63, 69]",4106,24,1.0,1.0,0.05063464312726742,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.16704106631994814,"[134, 140]",4113,17,1.0,1.0,0.2984832168667926,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.3200456024604793,"[70, 76]",4113,17,1.0,1.0,0.40380564656742857,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.0029694946933197593,"[99, 105]",267,3863,1.0,1.0,0.0258939937257483,True,loss,0.0
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.24998392479461629,"[144, 150]",1923,11,1.0,1.0,0.3527281268946689,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.4358299070171477,"[131, 137]",4120,10,1.0,1.0,0.47068798971822934,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.10977064345319171,"[61, 67]",4119,11,1.0,1.0,0.24418367625301826,False,gain,0.0
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.301394369237544,"[121, 127]",1919,15,1.0,1.0,0.3934369610406263,False,gain,0.0
bottom,dIS3_IS3_R,mScarlet,minus10,6,0.2769233741849175,"[14, 20]",55,1879,1.0,1.0,0.37150335736807394,False,loss,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.011179140181223358,"[30, 36]",4052,78,1.0,1.0,0.05775495827405119,False,gain,0.0
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.12642677434312993,"[105, 111]",1923,11,1.0,1.0,0.2623501555477112,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.008787618825035846,"[109, 115]",4088,42,1.0,1.0,0.0534655056578183,False,gain,0.0
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.11120446622599856,"[47, 53]",196,1738,1.0,1.0,0.2461174988555095,False,loss,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.180897150468942,"[79, 85]",4105,25,1.0,1.0,0.3042521488970503,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus35,6,0.16247171145846856,"[11, 17]",488,3642,1.0,1.0,0.29549555344147316,False,loss,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.23105181681088321,"[31, 37]",4116,14,1.0,1.0,0.3376163495058399,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.06557881940106454,"[102, 108]",4097,33,1.0,1.0,0.17541328379671253,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.04529300341659373,"[100, 106]",4117,13,1.0,1.0,0.1430299654046014,False,gain,0.0
bottom,dIS3_IS3_R,mScarlet,minus10,6,0.2863924395210343,"[138, 144]",1920,14,1.0,1.0,0.3788925620006478,False,gain,0.0
top,DIS3_IS2_R,mScarlet,minus10,6,0.32597236107230176,"[49, 55]",4118,12,1.0,1.0,0.40606842693578166,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.01450570134776611,"[144, 150]",4109,21,1.0,1.0,0.06780323410768083,False,gain,0.0
top,DIS3_IS150_R,GFP,minus35,6,0.3744928243026874,"[67, 73]",524,5830,1.111111111111111,1.111111111111111,0.43433124779796634,False,loss,0.0
bottom,DIS3_IS150_R,GFP,minus35,6,0.37456089259641134,"[19, 25]",6312,42,1.111111111111111,1.111111111111111,0.43433124779796634,False,gain,0.0
bottom,DIS3_IS150_R,GFP,minus35,6,0.1745173763962311,"[78, 84]",548,5806,1.111111111111111,1.111111111111111,0.2997120452251403,False,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.025277215059374237,"[117, 123]",4119,11,1.0,1.0,0.10018968878079243,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.3291471695979207,"[44, 50]",4118,12,1.0,1.0,0.4076936532519699,False,gain,0.0
bottom,DIS3_IS150_R,mScarlet,minus35,6,0.3182118456912447,"[27, 33]",6331,23,1.037037037037037,1.037037037037037,0.4033765714953338,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.05682448370162939,"[37, 43]",4061,69,1.0,1.0,0.16407599267490341,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.06318031879294254,"[30, 36]",3993,137,1.0,1.0,0.17248318138395471,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.22916161860637985,"[12, 18]",4119,11,1.0,1.0,0.3376163495058399,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.17260943228342368,"[5, 11]",319,3811,1.0,1.0,0.2997120452251403,False,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.06897012927591593,"[118, 124]",4118,12,1.0,1.0,0.18115046002589968,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.1996679845046888,"[12, 18]",282,3848,1.0,1.0,0.31494512292468363,False,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.018966433810398763,"[14, 20]",4120,10,1.0,1.0,0.08225696201799254,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.010617920122652004,"[38, 44]",4113,17,1.0,1.0,0.05775495827405119,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.3204512699824089,"[64, 70]",4045,85,1.0,1.0,0.40380564656742857,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.10977064345319171,"[82, 88]",4119,11,1.0,1.0,0.24418367625301826,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.22352983290184342,"[84, 90]",4115,15,1.0,1.0,0.3372283984263105,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.008389896923929531,"[94, 100]",4116,14,1.0,1.0,0.0534655056578183,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.07136421977925027,"[97, 103]",4117,13,1.0,1.0,0.18411124156066933,False,gain,0.0
bottom,DIS3_IS150_R,GFP,minus35,6,0.1845781571400435,"[77, 83]",569,5785,1.111111111111111,1.111111111111111,0.3048161607703331,False,loss,0.0
bottom,DIS3_IS150_R,GFP,minus35,6,0.4001647426099956,"[82, 88]",6343,11,1.111111111111111,1.111111111111111,0.44851369608729585,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.006940300326757691,"[45, 51]",359,3771,1.0,1.0,0.050444332901562965,False,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.011179140181223358,"[114, 120]",4052,78,1.0,1.0,0.05775495827405119,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.02749364642323617,"[123, 129]",4096,34,1.0,1.0,0.10423678122200844,False,gain,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.3733657453706757,"[115, 121]",4117,13,1.0,1.0,0.43433124779796634,False,gain,0.0
top,DIS3_IS150_R,mScarlet,minus10,6,0.49379707017529384,"[28, 34]",333,6021,1.037037037037037,1.037037037037037,0.4983692652695095,False,loss,0.0
bottom,DIS3_IS150_R,GFP,minus10,6,0.3781163699491361,"[78, 84]",6323,31,1.111111111111111,1.111111111111111,0.4361342256556173,False,gain,0.0
top,DIS3_IS150_R,GFP,minus35,6,0.3072518204223815,"[86, 92]",345,6009,1.111111111111111,1.111111111111111,0.39516753305061464,False,loss,0.0
bottom,DIS3_IS150_R,GFP,minus10,6,0.13002798262003568,"[118, 124]",283,6071,1.111111111111111,1.111111111111111,0.2623501555477112,False,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.001745058260531015,"[115, 121]",155,3975,1.0,1.0,0.016540117425902664,True,loss,0.0
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.1648523238911203,"[104, 110]",4110,20,1.0,1.0,0.2982390589897447,False,gain,0.0
top,DIS3_IS2_R,GFP,minus35,6,0.359471833295566,"[99, 105]",267,3863,1.1296296296296295,1.1302334943639292,0.42822327682204037,False,loss,-0.053428317008024306
bottom,DIS3_IS150_L,mScarlet,minus35,6,0.4934607046764049,"[75, 81]",296,2866,1.109722222222222,1.1107357357357357,0.4983692652695095,False,loss,-0.09124704291991693
bottom,DIS3_IS150_R,mScarlet,minus35,6,0.11814245599878226,"[77, 83]",569,5785,1.0357142857142858,1.037037037037037,0.25250054321308363,False,loss,-0.12755102040814856
bottom,DIS3_IS2_R,GFP,minus10,6,0.30652077487141915,"[115, 121]",155,3975,1.1286549707602338,1.1302334943639292,0.39516753305061464,False,loss,-0.13966349533675151
top,DIS3_IS150_R,mScarlet,minus10,6,0.25405317759374735,"[120, 126]",6332,22,1.037037037037037,1.0351851851851852,0.35354941794569955,False,gain,-0.1785714285714208
top,DIS3_IS150_R,mScarlet,minus35,6,0.11710510121286394,"[67, 73]",524,5830,1.0350877192982455,1.037037037037037,0.25151637501876195,False,loss,-0.18796992481203542
bottom,DIS3_IS150_L,mScarlet,minus35,6,0.2816486835045989,"[90, 96]",3142,20,1.1107357357357357,1.1085372960372961,0.37668351536197886,False,gain,-0.19792643990006903
bottom,dIS3_IS3_L,mScarlet,minus10,6,0.40971755389097464,"[132, 138]",3000,27,1.0439613526570048,1.0416666666666667,0.45342921926881785,False,gain,-0.21980564553446938
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.039929936840808436,"[140, 146]",1918,16,1.0027777777777778,1.0,0.13289658368391205,False,gain,-0.2770083102493065
top,dIS3_IS3_R,mScarlet,minus10,6,0.04384012192002893,"[7, 13]",1916,18,1.0027777777777778,1.0,0.14158735671950085,False,gain,-0.2770083102493065
top,DIS3_IS150_R,mScarlet,minus35,6,0.43952008767491374,"[86, 92]",345,6009,1.0333333333333334,1.037037037037037,0.47068798971822934,False,loss,-0.3571428571428416
bottom,DIS3_IS150_R,mScarlet,minus35,6,0.09863891938089919,"[78, 84]",548,5806,1.03308809658555,1.037037037037037,0.22874507085928697,False,loss,-0.3807906863933865
top,DIS3_IS150_R,GFP,minus35,6,0.33321903275477505,"[76, 82]",6336,18,1.111111111111111,1.1056808688387636,0.41040279996102913,False,gain,-0.4887218045112608
bottom,DIS3_IS2_R,GFP,minus10,6,0.35782736667857307,"[14, 20]",4120,10,1.1303031710640405,1.124771062271062,0.42743214211467906,False,gain,-0.48943583762316617
